"MES_INFORMACION","REGIÓN","COMUNA","SEXO","EDAD_TRAMO","NACIONALIDAD","TITULAR_CARGA","TRAMO","BENEFICIARIOS"
202412,"De Tarapacá","Iquique","Mujer","80 a más años","Chilena","Titular","D",343
202412,"De Valparaíso","Nogales","Mujer","70 a 74 años","Chilena","Titular","B",361
202412,"De Valparaíso","Quilpué","Hombre","10 a 14 años","Chilena","Carga","B",1107
202412,"De Valparaíso","Quilpué","Mujer","40 a 44 años","Chilena","Titular","A",659
202412,"De Los Ríos","La Unión","Mujer","05 a 09 años","Chilena","Titular","A",442
202412,"Metropolitana De Santiago","Lo Prado","Mujer","20 a 24 años","Chilena","Titular","A",420
202412,"Metropolitana De Santiago","Peñaflor","Mujer","80 a más años","Chilena","Titular","B",1545
202412,"Del Libertador General Bernardo O'Higgins","Rancagua","Hombre","15 a 19 años","Extranjera","Titular","A",226
202412,"Metropolitana De Santiago","Santiago","Hombre","50 a 54 años","Chilena","Titular","A",418
202412,"Metropolitana De Santiago","Cerrillos","Mujer","25 a 29 años","Chilena","Titular","D",641
202412,"De Coquimbo","La Serena","Mujer","65 a 69 años","Chilena","Titular","C",532
202412,"Metropolitana De Santiago","Lo Espejo","Mujer","10 a 14 años","Chilena","Titular","A",1386
202412,"Metropolitana De Santiago","Melipilla","Hombre","00 a 4 años","Chilena","Titular","A",715
202412,"Metropolitana De Santiago","Melipilla","Mujer","05 a 09 años","Chilena","Titular","A",1166
202412,"Metropolitana De Santiago","Melipilla","Mujer","15 a 19 años","Chilena","Carga","D",619
202412,"Metropolitana De Santiago","Melipilla","Mujer","80 a más años","Chilena","Titular","B",2243
202412,"De Coquimbo","Punitaqui","Mujer","10 a 14 años","Chilena","Titular","A",253
202412,"Metropolitana De Santiago","Quilicura","Mujer","05 a 09 años","Chilena","Carga","B",1499
202412,"De Valparaíso","San Felipe","Hombre","60 a 64 años","Chilena","Titular","B",791
202412,"De Valparaíso","San Felipe","Mujer","35 a 39 años","Extranjera","Titular","D",52
202412,"Metropolitana De Santiago","San Miguel","Hombre","70 a 74 años","Chilena","Titular","B",764
202412,"De Antofagasta","Antofagasta","Hombre","30 a 34 años","Extranjera","Titular","B",1129
202412,"De Valparaíso","Calle Larga","Mujer","25 a 29 años","Chilena","Titular","D",99
202412,"Metropolitana De Santiago","Cerro Navia","Mujer","60 a 64 años","Chilena","Titular","B",1651
202412,"Metropolitana De Santiago","Cerro Navia","Hombre","30 a 34 años","Chilena","Titular","C",996
202412,"Metropolitana De Santiago","Cerro Navia","Hombre","55 a 59 años","Chilena","Titular","B",1304
202412,"Del Bíobío","Chiguayante","Mujer","15 a 19 años","Chilena","Titular","A",689
202412,"Del Bíobío","Curanilahue","Hombre","15 a 19 años","Chilena","Carga","D",174
202412,"Desconocida","Desconocida","Hombre","S.I.","Chilena","Titular","B",3057
202412,"Desconocida","Desconocida","Hombre","25 a 29 años","Chilena","Titular","D",2700
202412,"Metropolitana De Santiago","Puente Alto","Hombre","50 a 54 años","Chilena","Titular","C",2346
202412,"Metropolitana De Santiago","Puente Alto","Mujer","15 a 19 años","Chilena","Carga","A",371
202412,"De Valparaíso","San Esteban","Mujer","80 a más años","Chilena","Titular","B",330
202412,"De Ñuble","San Ignacio","Mujer","55 a 59 años","Chilena","Titular","B",354
202412,"De Ñuble","San Nicolás","Mujer","05 a 09 años","Chilena","Titular","A",161
202412,"De Los Lagos","Puerto Varas","Mujer","00 a 4 años","Extranjera","Titular","A",20
202412,"De Magallanes Y De La Antártica Chilena","Punta Arenas","Mujer","35 a 39 años","Chilena","Titular","C",704
202412,"Metropolitana De Santiago","Isla De Maipo","Mujer","50 a 54 años","Chilena","Titular","B",461
202412,"Metropolitana De Santiago","Isla De Maipo","Hombre","50 a 54 años","Chilena","Titular","D",334
202412,"Metropolitana De Santiago","Padre Hurtado","Hombre","10 a 14 años","Chilena","Carga","B",493
202412,"Metropolitana De Santiago","Quinta Normal","Mujer","60 a 64 años","Chilena","Titular","B",1237
202412,"Metropolitana De Santiago","Estación Central","Mujer","25 a 29 años","Chilena","Titular","B",1007
202412,"Metropolitana De Santiago","San José De Maipo","Hombre","70 a 74 años","Chilena","Titular","B",133
202412,"Metropolitana De Santiago","Pedro Aguirre Cerda","Mujer","05 a 09 años","Chilena","Carga","D",540
202412,"Del Bíobío","San Pedro De La Paz","Hombre","40 a 44 años","Chilena","Titular","B",1037
202412,"Metropolitana De Santiago","Buin","Mujer","20 a 24 años","Chilena","Titular","A",308
202412,"Metropolitana De Santiago","Lampa","Hombre","35 a 39 años","Chilena","Titular","B",863
202412,"Metropolitana De Santiago","Lampa","Hombre","75 a 79 años","Chilena","Titular","B",500
202412,"Metropolitana De Santiago","Macul","Mujer","55 a 59 años","Chilena","Titular","D",772
202412,"Metropolitana De Santiago","Maipú","Hombre","50 a 54 años","Chilena","Titular","B",2586
202412,"De La Araucanía","Pucón","Mujer","55 a 59 años","Chilena","Titular","C",147
202412,"Metropolitana De Santiago","Ñuñoa","Mujer","70 a 74 años","Chilena","Titular","A",56
202412,"De Los Lagos","Castro","Hombre","10 a 14 años","Chilena","Carga","B",385
202412,"Del Bíobío","Cañete","Mujer","35 a 39 años","Chilena","Titular","A",314
202412,"Metropolitana De Santiago","Colina","Hombre","30 a 34 años","Extranjera","Titular","B",407
202412,"Del Maule","Molina","Hombre","80 a más años","Chilena","Titular","B",587
202412,"De La Araucanía","Temuco","Mujer","50 a 54 años","Chilena","Titular","B",3191
202412,"De La Araucanía","Temuco","Mujer","45 a 49 años","Chilena","Titular","C",1266
202412,"De Tarapacá","Iquique","Hombre","05 a 09 años","Chilena","Carga","C",962
202412,"De Valparaíso","Limache","Hombre","50 a 54 años","Chilena","Titular","C",173
202412,"De Los Lagos","Quellón","Hombre","40 a 44 años","Chilena","Titular","D",464
202412,"De Valparaíso","Quilpué","Mujer","30 a 34 años","Chilena","Titular","B",2105
202412,"De Ñuble","Coihueco","Mujer","60 a 64 años","Chilena","Titular","B",413
202412,"Metropolitana De Santiago","Conchalí","Hombre","25 a 29 años","Chilena","Titular","B",1294
202412,"De Coquimbo","Coquimbo","Hombre","20 a 24 años","Chilena","Carga","C",451
202412,"Metropolitana De Santiago","El Monte","Mujer","10 a 14 años","Chilena","Titular","A",449
202412,"Metropolitana De Santiago","La Reina","Hombre","70 a 74 años","Chilena","Titular","B",401
202412,"De Valparaíso","Llaillay","Mujer","15 a 19 años","Chilena","Carga","B",117
202412,"Metropolitana De Santiago","Lo Prado","Mujer","65 a 69 años","Chilena","Titular","C",314
202412,"Metropolitana De Santiago","Pudahuel","Hombre","00 a 4 años","Chilena","Carga","D",1130
202412,"Metropolitana De Santiago","Pudahuel","Mujer","10 a 14 años","Chilena","Carga","D",1529
202412,"Del Libertador General Bernardo O'Higgins","Rancagua","Mujer","30 a 34 años","Chilena","Carga","D",64
202412,"Del Libertador General Bernardo O'Higgins","Rancagua","Hombre","50 a 54 años","Chilena","Titular","B",2149
202412,"Metropolitana De Santiago","Santiago","Mujer","45 a 49 años","Chilena","Titular","A",453
202412,"De Los Ríos","Valdivia","Mujer","75 a 79 años","Chilena","Titular","B",2122
202412,"De Atacama","Vallenar","Hombre","05 a 09 años","Chilena","Carga","B",338
202412,"De Los Lagos","Frutillar","Hombre","40 a 44 años","Chilena","Titular","B",227
202412,"De Los Lagos","Frutillar","Hombre","20 a 24 años","Chilena","Titular","A",57
202412,"De Coquimbo","La Serena","Mujer","30 a 34 años","Chilena","Titular","B",3596
202412,"De Coquimbo","La Serena","Hombre","15 a 19 años","Chilena","Carga","B",1712
202412,"Del Libertador General Bernardo O'Higgins","Peralillo","Hombre","35 a 39 años","Chilena","Titular","B",173
202412,"Metropolitana De Santiago","Quilicura","Hombre","10 a 14 años","Chilena","Titular","A",1160
202412,"Metropolitana De Santiago","San Ramón","Hombre","45 a 49 años","Chilena","Titular","B",700
202412,"Metropolitana De Santiago","San Ramón","Mujer","45 a 49 años","Extranjera","Titular","B",95
202412,"Del Bíobío","Concepción","Hombre","45 a 49 años","Chilena","Titular","B",1562
202412,"Metropolitana De Santiago","Huechuraba","Hombre","15 a 19 años","Chilena","Titular","A",798
202412,"Metropolitana De Santiago","La Florida","Mujer","35 a 39 años","Chilena","Titular","D",3968
202412,"Del Libertador General Bernardo O'Higgins","Pichidegua","Hombre","40 a 44 años","Chilena","Titular","C",102
202412,"Del Maule","San Javier","Hombre","15 a 19 años","Chilena","Carga","B",306
202412,"Del Libertador General Bernardo O'Higgins","Santa Cruz","Mujer","65 a 69 años","Chilena","Titular","B",751
202412,"Del Bíobío","Chiguayante","Mujer","55 a 59 años","Chilena","Titular","B",1026
202412,"De Aysén Del Gral. C. Ibáñez Del Campo","Chile Chico","Hombre","05 a 09 años","Chilena","Titular","A",28
202412,"Del Bíobío","Los Ángeles","Mujer","60 a 64 años","Chilena","Titular","B",2956
202412,"De Los Ríos","Panguipulli","Hombre","10 a 14 años","Chilena","Titular","A",894
202412,"Metropolitana De Santiago","San Joaquín","Hombre","15 a 19 años","Chilena","Titular","A",758
202412,"De Magallanes Y De La Antártica Chilena","Punta Arenas","Mujer","15 a 19 años","Chilena","Carga","B",727
202412,"Metropolitana De Santiago","San Bernardo","Hombre","10 a 14 años","Chilena","Titular","A",3460
202412,"Metropolitana De Santiago","San Bernardo","Mujer","20 a 24 años","Chilena","Titular","C",1208
202412,"Metropolitana De Santiago","San Bernardo","Mujer","55 a 59 años","Chilena","Titular","A",1273
202412,"Metropolitana De Santiago","Independencia","Mujer","10 a 14 años","Chilena","Carga","B",519
202412,"De La Araucanía","Padre Las Casas","Mujer","50 a 54 años","Chilena","Carga","C",86
202412,"De La Araucanía","Padre Las Casas","Mujer","00 a 4 años","Chilena","Carga","D",383
202412,"Metropolitana De Santiago","Estación Central","Hombre","50 a 54 años","Chilena","Titular","B",678
202412,"Metropolitana De Santiago","Estación Central","Mujer","10 a 14 años","Extranjera","Titular","A",704
202412,"Del Bíobío","San Pedro De La Paz","Hombre","05 a 09 años","Chilena","Titular","A",775
202412,"De Arica Y Parinacota","Arica","Hombre","45 a 49 años","Chilena","Titular","D",1870
202412,"De Arica Y Parinacota","Arica","Mujer","35 a 39 años","Extranjera","Titular","D",221
202412,"Metropolitana De Santiago","Macul","Mujer","50 a 54 años","Chilena","Titular","B",1162
202412,"Metropolitana De Santiago","Maipú","Mujer","40 a 44 años","Chilena","Titular","D",3480
202412,"De La Araucanía","Purén","Mujer","00 a 4 años","Chilena","Carga","C",25
202412,"Del Maule","Talca","Hombre","75 a 79 años","Chilena","Titular","B",1981
202412,"Metropolitana De Santiago","Ñuñoa","Hombre","50 a 54 años","Chilena","Titular","D",964
202412,"Metropolitana De Santiago","Ñuñoa","Hombre","35 a 39 años","Chilena","Titular","C",491
202412,"Del Bíobío","Arauco","Mujer","00 a 4 años","Chilena","Carga","D",180
202412,"De Los Lagos","Castro","Mujer","45 a 49 años","Chilena","Titular","A",287
202412,"De Los Lagos","Osorno","Mujer","15 a 19 años","Chilena","Carga","C",693
202412,"De La Araucanía","Temuco","Mujer","20 a 24 años","Chilena","Titular","A",1530
202412,"Metropolitana De Santiago","Tiltil","Mujer","55 a 59 años","Chilena","Titular","A",88
202412,"De Valparaíso","Cabildo","Mujer","35 a 39 años","Chilena","Titular","D",103
202412,"De Los Lagos","Chonchi","Mujer","40 a 44 años","Chilena","Titular","C",79
202412,"De Atacama","Copiapó","Hombre","30 a 34 años","Chilena","Titular","D",2876
202412,"De Valparaíso","El Tabo","Mujer","65 a 69 años","Chilena","Titular","B",459
202412,"Del Bíobío","Hualpén","Hombre","25 a 29 años","Chilena","Titular","C",606
202412,"De Tarapacá","Iquique","Hombre","15 a 19 años","Extranjera","Carga","A",410
202412,"De Tarapacá","Iquique","Hombre","30 a 34 años","Chilena","Titular","D",2579
202412,"De Valparaíso","Limache","Hombre","25 a 29 años","Chilena","Titular","B",397
202412,"De Los Lagos","Quellón","Hombre","55 a 59 años","Chilena","Titular","D",295
202412,"De Valparaíso","Quilpué","Hombre","80 a más años","Chilena","Titular","C",246
202412,"Metropolitana De Santiago","Conchalí","Hombre","75 a 79 años","Chilena","Titular","B",980
202412,"Metropolitana De Santiago","Lo Prado","Hombre","00 a 4 años","Chilena","Carga","A",186
202412,"Metropolitana De Santiago","Lo Prado","Mujer","50 a 54 años","Chilena","Titular","A",631
202412,"De Valparaíso","Quillota","Hombre","65 a 69 años","Chilena","Titular","B",1271
202412,"Del Libertador General Bernardo O'Higgins","Rancagua","Hombre","00 a 4 años","Chilena","Titular","A",874
202412,"Metropolitana De Santiago","Recoleta","Mujer","55 a 59 años","Extranjera","Titular","B",330
202412,"Metropolitana De Santiago","Santiago","Mujer","40 a 44 años","Chilena","Carga","B",60
202412,"Metropolitana De Santiago","Santiago","Mujer","00 a 4 años","Chilena","Carga","B",2031
202412,"Metropolitana De Santiago","Cerrillos","Hombre","10 a 14 años","Chilena","Carga","D",409
202412,"Metropolitana De Santiago","El Bosque","Hombre","80 a más años","Extranjera","Titular","A",14
202412,"De Los Lagos","Frutillar","Hombre","05 a 09 años","Chilena","Titular","A",240
202412,"Metropolitana De Santiago","La Granja","Mujer","35 a 39 años","Extranjera","Titular","B",208
202412,"De Los Ríos","Mariquina","Hombre","80 a más años","Chilena","Titular","B",340
202412,"Del Maule","Río Claro","Mujer","70 a 74 años","Chilena","Carga","B",37
202412,"Metropolitana De Santiago","Talagante","Mujer","45 a 49 años","Chilena","Titular","B",624
202412,"Metropolitana De Santiago","La Florida","Hombre","20 a 24 años","Chilena","Carga","D",940
202412,"Metropolitana De Santiago","La Florida","Mujer","25 a 29 años","Chilena","Titular","A",1189
202412,"Metropolitana De Santiago","La Florida","Mujer","40 a 44 años","Chilena","Titular","B",3513
202412,"De Ñuble","San Carlos","Hombre","60 a 64 años","Chilena","Titular","B",904
202412,"De Antofagasta","Antofagasta","Mujer","35 a 39 años","Extranjera","Carga","C",87
202412,"De Antofagasta","Antofagasta","Mujer","80 a más años","Chilena","Titular","B",3983
202412,"Del Bíobío","Los Ángeles","Mujer","70 a 74 años","Chilena","Carga","D",90
202412,"Del Bíobío","Los Ángeles","Mujer","60 a 64 años","Chilena","Carga","B",597
202412,"Metropolitana De Santiago","Puente Alto","Mujer","55 a 59 años","Extranjera","Titular","B",211
202412,"Metropolitana De Santiago","Puente Alto","Mujer","10 a 14 años","Chilena","Carga","B",3784
202412,"De Ñuble","San Ignacio","Hombre","35 a 39 años","Chilena","Titular","C",133
202412,"Metropolitana De Santiago","San Joaquín","Hombre","45 a 49 años","Chilena","Titular","D",745
202412,"Del Libertador General Bernardo O'Higgins","San Vicente","Hombre","00 a 4 años","Chilena","Carga","B",418
202412,"De Los Lagos","Puerto Montt","Mujer","45 a 49 años","Chilena","Titular","B",2608
202412,"De Magallanes Y De La Antártica Chilena","Punta Arenas","Hombre","30 a 34 años","Chilena","Titular","D",1896
202412,"Del Libertador General Bernardo O'Higgins","San Fernando","Mujer","10 a 14 años","Extranjera","Carga","A",47
202412,"Del Maule","Villa Alegre","Mujer","75 a 79 años","Chilena","Titular","B",292
202412,"De Tarapacá","Alto Hospicio","Hombre","25 a 29 años","Chilena","Titular","D",1532
202412,"Metropolitana De Santiago","Independencia","Mujer","05 a 09 años","Chilena","Carga","D",569
202412,"Metropolitana De Santiago","Pedro Aguirre Cerda","Mujer","45 a 49 años","Chilena","Carga","B",84
202412,"Del Bíobío","San Pedro De La Paz","Mujer","30 a 34 años","Extranjera","Titular","A",199
202412,"Metropolitana De Santiago","Buin","Hombre","75 a 79 años","Chilena","Titular","C",142
202412,"Metropolitana De Santiago","Macul","Hombre","55 a 59 años","Chilena","Titular","D",1139
202412,"Metropolitana De Santiago","Maipú","Hombre","05 a 09 años","Chilena","Carga","B",2723
202412,"Metropolitana De Santiago","Renca","Mujer","05 a 09 años","Chilena","Carga","B",883
202412,"De Antofagasta","Calama","Mujer","50 a 54 años","Chilena","Titular","B",1088
202412,"De Valparaíso","Calera","Mujer","30 a 34 años","Chilena","Titular","D",392
202412,"Del Maule","Molina","Hombre","50 a 54 años","Chilena","Titular","B",599
202412,"Del Maule","Molina","Hombre","05 a 09 años","Chilena","Carga","D",277
202412,"De Ñuble","Ninhue","Mujer","35 a 39 años","Chilena","Titular","B",86
202412,"Metropolitana De Santiago","Pirque","Hombre","55 a 59 años","Chilena","Titular","B",296
202412,"Del Maule","Retiro","Mujer","15 a 19 años","Chilena","Carga","D",68
202412,"De La Araucanía","Temuco","Mujer","40 a 44 años","Chilena","Titular","C",1357
202412,"De La Araucanía","Temuco","Mujer","45 a 49 años","Chilena","Titular","D",1982
202412,"Del Bíobío","Cabrero","Hombre","15 a 19 años","Chilena","Titular","A",466
202412,"De Ñuble","Chillán","Hombre","60 a 64 años","Chilena","Titular","C",888
202412,"Del Bíobío","Coronel","Hombre","65 a 69 años","Chilena","Titular","D",659
202412,"Del Bíobío","Coronel","Mujer","10 a 14 años","Chilena","Titular","A",1717
202412,"Del Bíobío","Florida","Hombre","20 a 24 años","Chilena","Titular","A",46
202412,"De La Araucanía","Lautaro","Mujer","20 a 24 años","Chilena","Titular","B",652
202412,"De Valparaíso","Nogales","Hombre","10 a 14 años","Chilena","Titular","A",236
