codigo_nacional;altura;año;mes;dia;t_min;t_max;nombre;latitud;longitud;zona_geografica;fecha;t_med
200006;48;2013;1;14;18,2;24,3;Diego Aracena Iquique Ap.;-20,54917;-70,18111;Litoral;2013-01-14;NA
200006;48;2013;1;15;18,8;24,1;Diego Aracena Iquique Ap.;-20,54917;-70,18111;Litoral;2013-01-15;NA
200006;48;2013;1;16;20,1;24,3;Diego Aracena Iquique Ap.;-20,54917;-70,18111;Litoral;2013-01-16;NA
200006;48;2013;1;17;20,0;24,8;Diego Aracena Iquique Ap.;-20,54917;-70,18111;Litoral;2013-01-17;NA
200006;48;2013;1;18;19,5;24,3;Diego Aracena Iquique Ap.;-20,54917;-70,18111;Litoral;2013-01-18;NA
200006;48;2013;1;19;19,3;24,7;Diego Aracena Iquique Ap.;-20,54917;-70,18111;Litoral;2013-01-19;NA
200006;48;2013;1;20;18,3;24,6;Diego Aracena Iquique Ap.;-20,54917;-70,18111;Litoral;2013-01-20;NA
200006;48;2013;1;21;19,5;25,7;Diego Aracena Iquique Ap.;-20,54917;-70,18111;Litoral;2013-01-21;NA
200006;48;2013;1;22;19,0;24,8;Diego Aracena Iquique Ap.;-20,54917;-70,18111;Litoral;2013-01-22;NA
200006;48;2013;1;23;19,3;24,5;Diego Aracena Iquique Ap.;-20,54917;-70,18111;Litoral;2013-01-23;NA
200006;48;2013;1;24;18,3;25,2;Diego Aracena Iquique Ap.;-20,54917;-70,18111;Litoral;2013-01-24;NA
200006;48;2013;1;25;18,5;24,8;Diego Aracena Iquique Ap.;-20,54917;-70,18111;Litoral;2013-01-25;NA
200006;48;2013;1;26;18,3;24,8;Diego Aracena Iquique Ap.;-20,54917;-70,18111;Litoral;2013-01-26;NA
200006;48;2013;1;27;18,5;25,5;Diego Aracena Iquique Ap.;-20,54917;-70,18111;Litoral;2013-01-27;NA
200006;48;2013;1;28;19,0;24,6;Diego Aracena Iquique Ap.;-20,54917;-70,18111;Litoral;2013-01-28;NA
200006;48;2013;1;29;18,7;24,0;Diego Aracena Iquique Ap.;-20,54917;-70,18111;Litoral;2013-01-29;NA
200006;48;2013;1;30;18,3;24,3;Diego Aracena Iquique Ap.;-20,54917;-70,18111;Litoral;2013-01-30;NA
200006;48;2013;1;31;18,2;24,7;Diego Aracena Iquique Ap.;-20,54917;-70,18111;Litoral;2013-01-31;NA
220002;2321;2013;1;1;3,3;25,2;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-01;NA
220002;2321;2013;1;2;5,5;27,3;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-02;NA
220002;2321;2013;1;3;4,5;28,5;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-03;NA
220002;2321;2013;1;4;8,8;28,8;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-04;NA
220002;2321;2013;1;5;7,5;27,2;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-05;NA
220002;2321;2013;1;6;9,2;25,1;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-06;NA
220002;2321;2013;1;7;3,8;25,2;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-07;NA
220002;2321;2013;1;8;4,7;26,2;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-08;NA
220002;2321;2013;1;9;8,0;28,3;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-09;NA
220002;2321;2013;1;10;13,6;27,2;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-10;NA
220002;2321;2013;1;11;9,8;28,0;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-11;NA
220002;2321;2013;1;12;9,8;25,7;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-12;NA
220002;2321;2013;1;13;8,0;24,8;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-13;NA
220002;2321;2013;1;14;5,5;25,1;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-14;NA
220002;2321;2013;1;15;5,2;24,1;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-15;NA
220002;2321;2013;1;16;4,7;25,1;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-16;NA
220002;2321;2013;1;17;7,2;23,0;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-17;NA
220002;2321;2013;1;18;7,5;24,2;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-18;NA
220002;2321;2013;1;19;8,8;25,3;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-19;NA
220002;2321;2013;1;20;14,8;22,5;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-20;NA
220002;2321;2013;1;21;7,5;26,3;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-21;NA
220002;2321;2013;1;22;5,2;26,0;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-22;NA
220002;2321;2013;1;23;8,1;24,2;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-23;NA
220002;2321;2013;1;24;5,0;25,8;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-24;NA
220002;2321;2013;1;25;5,5;25,8;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-25;NA
220002;2321;2013;1;26;5,5;26,5;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-26;NA
220002;2321;2013;1;27;4,1;26,0;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-27;NA
220002;2321;2013;1;28;6,5;27,7;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-28;NA
220002;2321;2013;1;29;7,0;27,3;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-29;NA
220002;2321;2013;1;30;7,8;27,0;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-30;NA
220002;2321;2013;1;31;5,5;26,7;El Loa, Calama Ad.;-22,49806;-68,89250;PreCordillera;2013-01-31;NA
230001;112;2013;1;1;14,9;22,2;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-01;NA
230001;112;2013;1;2;15,4;21,6;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-02;NA
230001;112;2013;1;3;15,6;22,2;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-03;NA
230001;112;2013;1;4;17,9;21,9;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-04;NA
230001;112;2013;1;5;16,5;21,4;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-05;NA
230001;112;2013;1;6;16,4;21,5;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-06;NA
230001;112;2013;1;7;14,6;21,4;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-07;NA
230001;112;2013;1;8;14,7;22,1;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-08;NA
230001;112;2013;1;9;15,4;21,4;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-09;NA
230001;112;2013;1;10;16,8;22,0;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-10;NA
230001;112;2013;1;11;16,0;22,4;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-11;NA
230001;112;2013;1;12;18,4;23,6;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-12;NA
230001;112;2013;1;13;19,5;23,2;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-13;NA
230001;112;2013;1;14;16,6;23,5;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-14;NA
230001;112;2013;1;15;17,2;23,4;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-15;NA
230001;112;2013;1;16;17,7;23,6;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-16;NA
230001;112;2013;1;17;17,6;24,1;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-17;NA
230001;112;2013;1;18;17,3;23,5;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-18;NA
230001;112;2013;1;19;17,6;23,5;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-19;NA
230001;112;2013;1;20;18,4;23,6;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-20;NA
230001;112;2013;1;21;17,4;24,5;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-21;NA
230001;112;2013;1;22;16,8;24,6;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-22;NA
230001;112;2013;1;23;17,5;23,2;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-23;NA
230001;112;2013;1;24;16,9;24,4;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-24;NA
230001;112;2013;1;25;16,7;23,1;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-25;NA
230001;112;2013;1;26;16,8;23,5;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-26;NA
230001;112;2013;1;27;17,4;23,4;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-27;NA
230001;112;2013;1;28;17,6;23,4;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-28;NA
230001;112;2013;1;29;18,3;22,4;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-29;NA
230001;112;2013;1;30;16,2;22,7;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-30;NA
230001;112;2013;1;31;16,5;23,8;Cerro Moreno  Antofagasta  Ap.;-23,45361;-70,44528;Litoral;2013-01-31;NA
270001;44;2013;1;1;19,0;26,4;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-01;NA
