...1;nombre;region;provincia;comuna;hogares;hectareas;area;observaciones;año;tipo
1017;Miraflores;Libertador General Bernardo O'Higgins;Colchagua;San Fernando;78;4,83061564;32696,332037385;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2011;grandes
1018;Violeta Parra III;Metropolitana;Santiago;Cerro Navia;140;2,15948556;15001,164770090;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2022;grandes
1019;21 De Mayo;Libertador General Bernardo O'Higgins;Cachapoal;Las Cabras;11;2,47687819;16876,207696235;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2011;normales
1020;Violeta Parra;Metropolitana;Santiago;Cerro Navia;76;1,16539503;8095,330985000;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2022;grandes
1021;Trapiche Molino Viejo II;Libertador General Bernardo O'Higgins;Cachapoal;Rancagua;14;1,71670519;11723,575924455;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2019;normales
1022;Violeta Parra II;Metropolitana;Santiago;Cerro Navia;87;0,95261044;6617,303723180;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2022;grandes
1023;San Francisco;Los Ríos;Valdivia;Mariquina;96;1,03633407;6169,399906140;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2011;grandes
1024;Violeta Parra IV;Metropolitana;Santiago;Cerro Navia;121;1,02814446;7142,101489320;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2022;grandes
1025;Sector Estero;Los Ríos;Valdivia;Mariquina;55;1,39760738;8319,506319140;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2011;grandes
1026;Las Camelias;Metropolitana;Maipo;Buin;27;1,02610602;7080,269454685;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2022;normales
